batter_id,name,batter_hand,team,slot,pitcher,pitcher_hand,opp_pitcher_id,game_pk,matchup,start_time,game_date,game_state,p_hit,hit_odds,no_hit_odds,yes_cents,has_hit,last5,lineup_source,bvp_ab,bvp_h,bvp_avg,b_hit_rate,b_xba,b_hardhit,b_n_games,b_days_rest,platoon_adv,park_factor,p_rating,p_grade,p_csw,p_k_bb,p_hardhit_allowed,p_n_games,p_days_rest,is_opener
641355,Cody Bellinger,L,NYY,4,Tarik Skubal,L,669373,824259,NYY @ DET,3:40 PM,24/06,Final,0.6480072548070189,-236,175,66.0,True,01100,live,0,0,0.0,0.24149351324073054,0.3631343645894343,0.3738895429874833,20,1,0,1.0,63.0,C,0.30949105914718017,6.5222475653200105,0.4177762980272776,8,5,0
642215,Weston Wilson,R,SEA,5,Braxton Ashcraft,R,677952,823367,SEA @ PIT,3:40 PM,24/06,Final,0.6480072548070189,,,,False,00001,live,0,0,0.0,0.1594730810186078,0.2327784275575603,0.3525975840473539,20,3,0,1.01,81.8,A,0.30844645550527905,4.622221541902185,0.3859313993331801,15,7,0
621493,Taylor Ward,R,BAL,1,José Soriano,R,667755,824018,BAL @ LAA,1:07 PM,24/06,Final,0.6480072548070189,-195,145,,True,11110,live,0,0,0.0,0.26163635226282433,0.384200561730806,0.4737982421083451,20,1,0,0.975,55.5,C,0.3046495489243581,1.927563769703153,0.385799843868377,15,5,0
642715,Willy Adames,R,SF,5,Gage Jump,L,695611,823208,ATH @ SF,6:45 PM,24/06,Final,0.6463798994400692,-157,118,,False,11001,live,0,0,0.0,0.1913878307393596,0.27900265591319756,0.289437802149995,20,1,1,1.005,76.5,B,0.28159645232815966,2.8828825956903326,0.29272891263134476,5,6,0
646240,Rafael Devers,L,SF,4,Gage Jump,L,695611,823208,ATH @ SF,6:45 PM,24/06,Final,0.6463798994400692,-170,127,61.0,True,11001,live,0,0,0.0,0.23508041842990565,0.3397374277787942,0.547661887159174,20,1,0,1.005,76.5,B,0.28159645232815966,2.8828825956903326,0.29272891263134476,5,6,0
699013,Esmerlyn Valdez,R,PIT,1,Bryan Woo,R,693433,823367,SEA @ PIT,3:40 PM,24/06,Final,0.6462464919337542,,,,True,00001,live,0,0,0.0,0.09436759475891383,0.31541725288426903,0.5772455568832793,10,5,0,1.01,63.2,C,0.27153846153846156,6.2646377797369786,0.429944650873064,15,6,0
676356,Jonny Deluca,R,TB,2,Noah Cameron,L,702070,822965,KC @ TB,3:40 PM,24/06,Final,0.6457161048813655,-174,130,,True,11101,live,0,0,0.0,0.24063738769103116,0.3113973212579319,0.29021175333287286,20,1,1,0.955,66.3,B,0.2752585521081941,4.156270473927872,0.3780459164994765,14,6,0
663538,Nico Hoerner,R,CHC,6,Nolan Mclean,R,690997,823613,CHC @ NYM,10:10 AM,24/06,Final,0.6457161048813655,,,,True,01101,live,0,0,0.0,0.17019564271611054,0.3076662894080904,0.292327726755001,20,1,0,0.935,72.7,B,0.30142857142857143,2.6948539047355506,0.36404550752933607,15,7,0
681715,Heriberto Hernandez,R,MIA,4,Jacob Degrom,R,594798,823850,TEX @ MIA,9:10 AM,24/06,Final,0.6457161048813655,-144,109,,False,01101,live,0,0,0.0,0.3110202389754032,0.3682592994892581,0.6245449194384919,20,1,0,1.035,66.9,B,0.3075780089153046,5.58615768658487,0.4311511859885629,15,5,0
571970,Max Muncy,L,LAD,5,Joe Ryan,R,657746,823691,LAD @ MIN,4:40 PM,24/06,Final,0.6457161048813655,-162,122,,True,10111,live,0,0,0.0,0.25023531922758385,0.3000366643342456,0.4101608995402087,20,1,1,1.025,74.6,B,0.30734966592427615,4.144251610036879,0.44014374080389373,15,6,0
681909,Justin Dean,R,CHC,2,Nolan Mclean,R,690997,823613,CHC @ NYM,10:10 AM,24/06,Final,0.6457161048813655,,,,False,1,live,0,0,0.0,,,,1,5,0,0.935,72.7,B,0.30142857142857143,2.6948539047355506,0.36404550752933607,15,7,0
683011,Anthony Volpe,R,NYY,5,Tarik Skubal,L,669373,824259,NYY @ DET,3:40 PM,24/06,Final,0.6457161048813655,-159,119,,False,11011,live,0,0,0.0,0.346810175223061,0.3971726271648922,0.4817747040527485,20,1,1,1.0,63.0,C,0.30949105914718017,6.5222475653200105,0.4177762980272776,8,5,0
663538,Nico Hoerner,R,CHC,6,Sean Manaea,L,640455,823611,CHC @ NYM,4:10 PM,24/06,Final,0.6457161048813655,,,,True,01101,live,1,0,0.0,0.17019564271611054,0.3076662894080904,0.292327726755001,20,1,1,0.935,54.8,C,0.2837696335078534,3.3379678625663693,0.44394897096913893,16,6,0
667472,Dane Myers,R,CIN,3,Shane Drohan,L,675660,824500,MIL @ CIN,4:10 PM,24/06,Final,0.6435169540312728,-179,134,,False,00011,live,0,0,0.0,0.3601127263751463,0.3940717908069135,0.4238514750272124,20,2,1,1.0,89.2,A,0.29506008010680906,4.29272784830072,0.3454523957126297,15,6,0
592518,Manny Machado,R,SD,3,Martín Pérez,L,527048,823284,ATL @ SD,5:40 PM,24/06,Final,0.6435169540312728,-201,150,,False,01111,live,0,0,0.0,0.24748392239045214,0.3568695237352585,0.48512372581085045,20,1,1,0.955,88.1,A,0.2875,3.7613094513604204,0.32476500201771175,15,5,0
696100,Hunter Goodman,R,COL,4,Ranger Suarez,L,624133,824341,BOS @ COL,12:10 PM,24/06,Final,0.6431905390775787,-256,189,,False,00011,live,0,0,0.0,0.22034483604689417,0.29964319300533543,0.3041742489353629,20,1,1,1.165,71.6,B,0.27712854757929883,3.0373770532253577,0.31495275665079464,14,5,0
670623,Isaac Paredes,R,HOU,4,Trey Yesavage,R,702056,822798,HOU @ TOR,4:07 PM,24/06,Final,0.6424861787209809,-161,121,,True,11111,live,0,0,0.0,0.33454057296761014,0.339643505767464,0.4100268891324529,20,1,0,0.985,67.3,B,0.28312570781426954,2.0368867328733824,0.3654498482534385,10,6,0
663728,Cal Raleigh,L,SEA,2,Braxton Ashcraft,R,677952,823367,SEA @ PIT,3:40 PM,24/06,Final,0.6423711748466372,-154,116,60.0,True,00101,live,0,0,0.0,0.12764128605646113,0.22175777890729792,0.26779454081870957,20,1,1,1.01,81.8,A,0.30844645550527905,4.622221541902185,0.3859313993331801,15,7,0
695490,Edwin Arroyo,L,CIN,1,Shane Drohan,L,675660,824500,MIL @ CIN,4:10 PM,24/06,Final,0.6389313518829746,,,,True,00100,live,0,0,0.0,0.2075703078550986,0.40131754409257536,0.18053695567856412,16,1,0,1.0,89.2,A,0.29506008010680906,4.29272784830072,0.3454523957126297,15,6,0
518692,Freddie Freeman,L,LAD,3,Joe Ryan,R,657746,823691,LAD @ MIN,4:40 PM,24/06,Final,0.6388680549704956,,,,True,00111,live,0,0,0.0,0.29975584253226806,0.3978802624435489,0.45148843819344336,20,1,1,1.025,74.6,B,0.30734966592427615,4.144251610036879,0.44014374080389373,15,6,0
681624,Andy Pages,R,LAD,2,Joe Ryan,R,657746,823691,LAD @ MIN,4:40 PM,24/06,Final,0.6388680549704956,-241,178,,False,10101,live,0,0,0.0,0.21533527140789582,0.3312817145289032,0.3757840324955154,20,1,0,1.025,74.6,B,0.30734966592427615,4.144251610036879,0.44014374080389373,15,6,0
641343,Jake Bauers,L,MIL,5,Rhett Lowder,R,695076,824500,MIL @ CIN,4:10 PM,24/06,Final,0.6388680549704956,-194,145,,True,00101,live,0,0,0.0,0.2040436570162846,0.303953784590182,0.5279591355714157,20,1,1,1.0,33.8,F,0.26944140197152244,1.1878110803629596,0.4274294256980982,11,5,0
624585,Jorge Soler,R,LAA,4,Trey Gibson,R,694346,824018,BAL @ LAA,1:07 PM,24/06,Final,0.6387005116116385,-197,147,,True,11010,live,0,0,0.0,0.1928083915193334,0.3399881859114878,0.3650398812790892,20,1,0,0.975,34.9,F,0.27789473684210525,1.243684110198587,0.41962768531040756,6,5,0
699625,Jimmy Crooks,L,STL,4,Mitch Bratt,R,683352,823041,AZ @ STL,4:45 PM,24/06,Final,0.6382820842037039,,,,False,00101,live,0,0,0.0,0.16398544496238684,0.40763619869650003,0.6157588314914285,16,1,1,1.035,,,,,,0,0,0
682177,Daniel Schneemann,L,CLE,7,Erick Fedde,R,607200,824583,CLE @ CWS,11:10 AM,24/06,Final,0.636524163520966,-165,124,,False,00010,live,0,0,0.0,0.15610133125880385,0.269828083105637,0.36849354239763726,20,1,1,0.98,47.2,D,0.2473469387755102,1.9573349475283228,0.3719106774452498,15,5,0
683737,Michael Busch,L,CHC,3,Nolan Mclean,R,690997,823613,CHC @ NYM,10:10 AM,24/06,Final,0.6363528184388123,,,,False,01110,live,0,0,0.0,0.22404993910943183,0.3093776169466003,0.44730354494679003,20,1,1,0.935,72.7,B,0.30142857142857143,2.6948539047355506,0.36404550752933607,15,7,0
663368,Blake Perkins,R,MIL,6,Rhett Lowder,R,695076,824500,MIL @ CIN,4:10 PM,24/06,Final,0.6349549806070072,,,,False,11110,live,0,0,0.0,0.2283740348629454,0.30404800088225287,0.2896256460706071,20,1,0,1.0,33.8,F,0.26944140197152244,1.1878110803629596,0.4274294256980982,11,5,0
669242,Tommy Edman,L,LAD,7,Joe Ryan,R,657746,823691,LAD @ MIN,4:40 PM,24/06,Final,0.6345809732117232,-191,143,,False,11011,live,0,0,0.0,0.3006167943340141,0.3582330735748661,0.2764997399476902,6,1,1,1.025,74.6,B,0.30734966592427615,4.144251610036879,0.44014374080389373,15,6,0
